model,varianta,f1_macro,f1_weighted,confusion_matrix,cv_f1_macro_mean,cv_f1_macro_std
LogisticRegression,ModelA,0.5583295742008526,0.809102090477174,"[[1445  421   65]
 [  27   30    3]
 [  23   65  208]]",0.5551871940501032,0.013852463807753969
RandomForest,ModelA,0.6653904062269095,0.9058684529399457,"[[1809   48   74]
 [  35   18    7]
 [  52    5  239]]",0.6788544625921404,0.0071175176673997365
XGBoost,ModelA,0.7152326501896414,0.9273795499802451,"[[1893    4   34]
 [  40   15    5]
 [  68    1  227]]",0.7103209025306045,0.014501562878833515
LogisticRegression,ModelB,0.4456996945413518,0.7036864236131413,"[[1212  461  258]
 [  20   28   12]
 [  46   66  184]]",0.43957246368105585,0.007266484232042859
RandomForest,ModelB,0.6108958940401125,0.8481409264397226,"[[1709   16  206]
 [  32   18   10]
 [  94    4  198]]",0.6192907834227338,0.014889761878063772
XGBoost,ModelB,0.6317878908240354,0.8854725691298041,"[[1889    0   42]
 [  42   12    6]
 [ 142    0  154]]",0.6122867373489838,0.013494768741454891
